Feb 2019,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AUSTRALIA
Hepatitis (NEC),0,0,0,0,0,0,0,0,0
Hepatitis B (newly acquired),0,2,0,3,0,1,1,3,10
Hepatitis B (unspecified),8,200,8,86,25,3,118,41,489
Hepatitis C (newly acquired),1,1,0,32,3,0,2,5,44
Hepatitis C (unspecified),10,291,10,156,16,16,137,72,708
Hepatitis D,0,3,0,0,0,0,1,4,8
Botulism,0,0,0,0,0,0,0,0,0
Campylobacteriosis,55,968,35,846,288,53,475,248,2968
Cryptosporidiosis,5,111,15,110,10,0,106,19,376
Haemolytic uraemic syndrome (HUS),0,0,0,1,0,0,1,1,3
Hepatitis A,0,8,1,2,4,0,15,3,33
Hepatitis E,0,0,0,0,0,0,2,0,2
Listeriosis,0,1,0,2,0,0,2,2,7
Paratyphoid,0,14,0,0,2,0,3,4,23
STEC,0,4,0,2,30,0,8,14,58
Salmonellosis,7,405,33,363,239,31,298,208,1584
Shigellosis,6,68,25,58,26,1,63,36,283
Typhoid Fever,1,10,0,7,3,0,10,4,35
Legionellosis,0,12,1,7,1,2,5,4,32
Leprosy,0,1,0,0,0,0,0,0,1
Meningococcal disease (invasive),1,5,0,3,0,0,0,1,10
Tuberculosis,0,50,0,18,5,0,31,6,110
COVID-19,0,0,0,0,0,0,0,0,0
Cholera,0,0,0,0,0,0,0,0,0
Middle East respiratory syndrome coronavirus,0,0,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0,0,0
Smallpox,0,0,0,0,0,0,0,0,0
Viral haemorrhagic fever (NEC),0,0,0,0,0,0,0,0,0
Yellow fever,0,0,0,0,0,0,0,0,0
Chlamydial infection,157,2764,247,2093,541,131,2323,1053,9309
Donovanosis,0,0,0,0,0,0,0,0,0
Gonococcal infection,23,937,130,469,177,11,757,328,2832
Syphilis < 2 years,6,148,22,94,13,0,158,52,493
Syphilis > 2 years or unspecified duration,4,63,7,21,19,3,70,18,205
Syphilis congenital,0,0,0,0,0,0,1,0,1
Diphtheria,0,0,0,1,0,0,0,0,1
Haemophilus influenzae type b,0,0,1,2,0,0,0,0,3
Influenza,70,2374,67,1981,838,86,1225,520,7161
Measles,1,5,3,4,0,0,4,3,20
Mumps,0,4,1,5,1,0,3,1,15
Pertussis,21,372,6,128,24,72,152,62,837
Pneumococcal disease (invasive),1,26,3,15,5,0,19,7,76
Poliovirus infection,0,0,0,0,0,0,0,0,0
Rotavirus,16,49,3,51,32,2,18,28,199
Rubella,0,3,0,0,0,0,2,1,6
Rubella congenital,0,0,0,0,0,0,0,0,0
Tetanus,0,1,0,0,0,0,0,0,1
Chickenpox,16,NN,4,32,56,7,86,62,263
Shingles,29,NN,35,261,297,34,212,204,1072
Varicella,9,NN,0,455,0,16,597,106,1183
Barmah Forest virus infection,0,4,1,20,0,3,0,0,28
Chikungunya,0,1,0,2,0,0,1,0,4
Dengue,2,42,3,20,7,2,27,31,134
Flavivirus infection (unspecified),0,0,0,0,0,0,0,0,0
Japanese encephalitis virus infection,0,0,0,0,0,0,0,0,0
Malaria,1,4,0,12,3,0,7,4,31
Murray Valley encephalitis virus infection,0,0,0,0,0,0,0,0,0
Ross River virus infection,0,61,20,135,3,2,14,32,267
west nile virus,0,0,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,0,0,0,0
Australian bat lyssavirus infection,0,0,0,0,0,0,0,0,0
Brucellosis,0,0,0,0,0,0,0,0,0
Leptospirosis,0,1,0,4,1,0,0,1,7
Lyssavirus infection (NEC),0,0,0,0,0,0,0,0,0
Ornithosis,0,0,0,0,0,0,1,0,1
Q fever,0,21,0,29,1,0,2,0,53
Tularaemia,0,0,0,0,0,0,0,0,0
