January 2020,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,AUSTRALIA
Hepatitis (NEC),0,0,0,0,0,0,0,0,0
Hepatitis B (newly acquired),0,0,0,5,1,1,3,0,10
Hepatitis B (unspecified),7,165,1,58,19,3,120,39,412
Hepatitis C (newly acquired),1,1,0,46,3,0,1,7,59
Hepatitis C (unspecified),8,258,8,145,15,11,108,69,622
Hepatitis D,0,3,0,3,1,0,0,0,7
Botulism,0,0,0,0,0,0,0,0,0
Campylobacteriosis,67,991,26,976,282,102,823,326,3593
Cryptosporidiosis,6,105,8,102,12,0,102,98,433
Haemolytic uraemic syndrome (HUS),0,1,0,0,0,0,0,1,2
Hepatitis A,0,7,0,2,1,0,8,0,18
Hepatitis E,0,1,0,0,2,0,2,1,6
Listeriosis,0,0,0,3,0,1,0,0,4
Paratyphoid,1,6,1,0,0,0,3,0,11
STEC,0,12,0,1,32,0,20,16,81
Salmonellosis,16,419,40,605,95,14,345,214,1748
Shigellosis,4,161,34,63,33,0,72,47,414
Typhoid Fever,1,11,0,2,0,0,3,1,18
Legionellosis,0,6,1,6,5,0,14,4,36
Leprosy,0,0,0,0,0,0,0,0,0
Meningococcal disease (invasive),0,4,0,6,0,0,0,2,12
Tuberculosis,0,33,3,8,6,2,34,10,96
COVID-19,0,4,0,2,2,0,4,0,12
Cholera,0,0,0,0,0,0,0,0,0
Middle East respiratory syndrome coronavirus,0,0,0,0,0,0,0,0,0
Plague,0,0,0,0,0,0,0,0,0
Rabies,0,0,0,0,0,0,0,0,0
Smallpox,0,0,0,0,0,0,0,0,0
Viral haemorrhagic fever (NEC),0,0,0,0,0,0,0,0,0
Yellow fever,0,0,0,0,0,0,0,0,0
Chlamydial infection,158,3093,227,2082,554,113,1,1016,7244
Donovanosis,0,0,0,0,0,0,0,0,0
Gonococcal infection,51,1203,92,635,182,22,697,396,3278
Syphilis < 2 years,5,139,25,94,19,0,142,58,482
Syphilis > 2 years or unspecified duration,1,21,5,9,9,2,81,22,150
Syphilis congenital,0,2,0,1,0,0,1,0,4
Diphtheria,0,0,0,0,1,0,0,0,1
Haemophilus influenzae type b,0,1,1,1,0,0,0,0,3
Influenza,93,2626,99,1540,409,61,1394,498,6720
Measles,0,10,0,4,0,0,3,4,21
Mumps,0,9,0,5,2,0,6,2,24
Pertussis,14,373,5,169,23,26,213,38,861
Pneumococcal disease (invasive),2,34,6,24,5,1,36,11,119
Poliovirus infection,0,0,0,0,0,0,0,0,0
Rotavirus,3,139,15,73,98,12,59,26,425
Rubella,0,0,0,0,0,0,0,0,0
Rubella congenital,0,0,0,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0,0,0,0
Chickenpox,25,0,3,99,45,2,1,50,225
Shingles,41,0,46,647,260,33,3,197,1227
Varicella,11,0,0,68,40,17,2,122,260
Barmah Forest virus infection,0,8,1,21,0,0,0,1,31
Chikungunya,0,3,0,1,3,0,4,1,12
Dengue,0,17,7,13,5,2,4,20,68
Flavivirus infection (unspecified),0,0,0,1,0,0,0,0,1
Japanese encephalitis virus infection,0,0,0,0,1,0,0,0,1
Malaria,1,5,0,13,2,0,5,9,35
Murray Valley encephalitis virus infection,0,0,0,0,0,0,0,0,0
Ross River virus infection,0,15,5,58,1,1,6,32,118
west nile virus,0,0,0,0,0,0,0,0,0
Anthrax,0,0,0,0,0,0,0,0,0
Australian bat lyssavirus infection,0,0,0,0,0,0,0,0,0
Brucellosis,0,0,0,1,0,0,0,0,1
Leptospirosis,0,0,0,8,0,0,0,1,9
Lyssavirus infection (NEC),0,0,0,0,0,0,0,0,0
Ornithosis,0,0,0,0,0,0,0,0,0
Q fever,0,19,0,20,0,2,1,0,42
Tularaemia,0,0,0,0,0,0,0,0,0
